CustomerID,Gender,Age,Location,Tenure_Months,Contract,MonthlyCharges,TotalCharges,PaymentMethod,PaperlessBilling,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,SupportCalls_Last6Mo,SatisfactionScore,Referrals,AccountStartDate,ChurnDate,Churned,HasSatisfactionScore,TenureYears,AvgMonthlySpend,AgeGroup,TenureGroup,ChurnStatus,ChargesBin,SupportBins,RiskScore,RiskCategory
CUST_000001,Male,33,Urban,1,Month-to-Month,40.83,40.83,Bank Transfer (Automatic),No,Yes,Yes,,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,1,10.0,0,2024-10-01,2024-10-23,1,1,0.08333333333333333,40.83,26-35,0-6 mo,Churned,$40-60,1-2 calls,5,Medium
CUST_000002,Female,18,Urban,46,Month-to-Month,75.25,3461.5,Credit Card (Automatic),No,Yes,Yes,DSL,No,No,Yes,Yes,No,No,3,8.5,1,2021-01-20,,0,1,3.8333333333333335,75.25,18-25,2-4 yr,Retained,$60-80,3-4 calls,5,Medium
CUST_000003,Female,35,Rural,35,Month-to-Month,66.45,2325.75,Bank Transfer (Automatic),No,Yes,Yes,DSL,No,No,No,Yes,No,No,1,7.2,2,2021-12-16,,0,1,2.9166666666666665,66.45,26-35,2-4 yr,Retained,$60-80,1-2 calls,4,Medium
CUST_000004,Female,55,Urban,9,Month-to-Month,56.29,506.61,Bank Transfer (Automatic),Yes,Yes,Yes,,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,1,4.8,2,2024-02-04,,0,1,0.75,56.29,46-55,7-12 mo,Retained,$40-60,1-2 calls,4,Medium
CUST_000005,Male,50,Urban,71,One Year,61.5,4366.5,Bank Transfer (Automatic),No,No,No Phone Service,Fiber Optic,No,No,Yes,No,No,No,1,5.2,0,2019-01-01,,0,1,5.916666666666667,61.5,46-55,4+ yr,Retained,$60-80,1-2 calls,3,Low
CUST_000006,Male,48,Urban,51,Month-to-Month,52.41,2672.91,Electronic Check,Yes,Yes,Yes,,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,2,4.4,1,2020-08-23,,0,1,4.25,52.41,46-55,4+ yr,Retained,$40-60,1-2 calls,5,Medium
CUST_000007,Male,37,Rural,45,One Year,34.94,1572.3,Electronic Check,No,Yes,No,,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,2,3.6,2,2021-02-19,,0,1,3.75,34.94,36-45,2-4 yr,Retained,$0-40,1-2 calls,3,Low
CUST_000008,Female,22,Urban,8,Month-to-Month,103.06,824.48,Electronic Check,No,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,No,1,7.0,1,2024-03-05,2024-10-22,1,1,0.6666666666666666,103.06,18-25,7-12 mo,Churned,$100+,1-2 calls,9,High
CUST_000009,Female,49,Rural,25,Month-to-Month,77.19,1929.75,Bank Transfer (Automatic),No,Yes,Yes,Fiber Optic,Yes,No,Yes,No,No,No,1,6.1,0,2022-10-12,2024-10-26,1,1,2.0833333333333335,77.19,46-55,2-4 yr,Churned,$60-80,1-2 calls,4,Medium
CUST_000010,Female,29,Urban,12,Month-to-Month,91.85,1102.2,Electronic Check,No,Yes,No,Fiber Optic,No,Yes,No,Yes,No,Yes,2,8.3,0,2023-11-06,2024-10-23,1,1,1.0,91.85000000000001,26-35,7-12 mo,Churned,$80-100,1-2 calls,8,High
