PropertyID,Neighborhood,PropertyType,SquareFeet,Bedrooms,Bathrooms,YearBuilt,PropertyAge,LotSize,GarageCapacity,HasPool,HasFireplace,RenovationYear,YearsSinceRenovation,Condition,EnergyRating,SchoolRating,CrimeRate,DistanceToCenter,HOAFee,DaysOnMarket,ListingDate,Price
PROP_000001,Suburbs,Townhouse,833.0,1,1.5,2002,22,0.39,2,0,1,0,22,8.8,E,8.0,4,11.8,154,3,2024-09-04,169000
PROP_000002,Residential Park,Townhouse,1365.0,3,2.0,2011,13,0.35,2,0,1,0,13,8.9,A,8.0,6,11.3,270,120,2024-06-25,408000
PROP_000003,University Area,Single Family,1545.0,3,3.5,1984,40,0.07,2,0,1,2019,5,9.7,D,5.0,23,7.6,0,9,2024-09-23,402000
PROP_000004,Historic District,Condo,1187.0,2,2.5,2008,16,0.0,3,0,0,2015,9,10.0,F,6.0,15,2.1,503,10,2024-10-13,508000
PROP_000005,Midtown,Condo,662.0,3,2.0,2005,19,0.0,1,0,0,2001,23,9.4,E,8.0,16,2.2,366,54,2024-07-30,267000
PROP_000006,Midtown,Multi-Family,2020.0,4,4.0,2021,3,0.36,2,0,0,0,3,9.5,A,7.0,21,3.8,0,39,2024-09-16,549000
PROP_000007,Downtown,Ranch,1053.0,2,1.0,1965,59,1.9,2,0,1,0,59,7.3,E,7.0,21,0.1,0,104,2024-07-04,320000
PROP_000008,Industrial,Single Family,1750.0,4,3.0,1996,28,0.13,3,0,1,0,28,7.3,E,6.0,30,7.1,0,16,2024-09-08,325000
PROP_000009,Historic District,Townhouse,1381.0,3,3.0,1999,25,,2,1,0,0,25,9.5,E,6.0,16,1.0,279,1,2024-09-29,468000
PROP_000010,Tech Hub,Single Family,1647.0,3,2.0,2023,1,0.14,3,0,1,0,1,10.0,A,7.0,11,6.1,165,238,2024-01-08,561000
PROP_000011,Downtown,Condo,900.0,1,1.5,1963,61,0.0,2,0,0,0,61,6.1,E,6.0,23,1.9,499,16,2024-09-17,230000
PROP_000012,Residential Park,Single Family,1607.0,4,4.0,1994,30,0.27,1,0,0,0,30,7.3,D,10.0,7,11.2,0,7,2024-09-12,419000
PROP_000013,University Area,Single Family,2202.0,5,5.0,1978,46,0.05,2,0,0,0,46,7.2,F,6.0,23,6.3,0,187,2024-03-08,498000
PROP_000014,Uptown,Single Family,1257.0,2,2.5,1994,30,0.05,2,0,1,0,30,7.5,E,8.0,11,5.9,0,37,2024-08-16,329000
PROP_000015,Midtown,Condo,941.0,3,3.0,1967,57,0.0,2,0,0,2013,11,9.3,F,7.0,23,2.3,580,7,2024-09-04,349000
PROP_000016,Midtown,Single Family,856.0,2,2.0,1933,91,0.14,0,0,1,0,91,2.6,E,7.0,14,3.9,153,81,2024-07-28,127000
PROP_000017,Suburbs,Townhouse,896.0,2,2.5,1997,27,0.41,2,0,0,2011,13,10.0,F,7.0,10,13.8,246,130,2024-06-13,219000
PROP_000018,Waterfront,Condo,929.0,3,3.5,1978,46,0.0,1,0,0,2020,4,9.0,B,7.0,13,3.2,547,95,2024-07-20,456000
PROP_000019,Suburbs,Single Family,1951.0,4,4.5,1960,64,0.28,2,0,0,0,64,6.1,E,7.0,13,11.5,0,9,2024-10-07,362000
PROP_000020,Uptown,Townhouse,1110.0,2,1.0,1976,48,0.1,1,0,1,2010,14,9.5,E,8.0,17,3.3,247,2,2024-10-05,302000
PROP_000021,Historic District,Single Family,1282.0,3,2.5,1933,91,0.48,2,0,0,0,91,,D,6.0,11,2.1,85,20,2024-09-10,371000
PROP_000022,Midtown,Condo,777.0,1,1.0,2021,3,0.0,1,0,1,2008,16,10.0,A,7.0,22,3.3,217,19,2024-08-29,249000
PROP_000023,Uptown,Townhouse,1012.0,2,2.5,1998,26,0.45,1,0,0,0,26,8.5,F,9.0,16,3.5,210,23,2024-09-29,311000
PROP_000024,Suburbs,Single Family,1547.0,3,3.0,2013,11,0.22,3,0,0,0,11,10.0,A,9.0,3,12.0,0,72,2024-08-11,402000
PROP_000025,Suburbs,Single Family,651.0,1,1.0,1986,38,0.1,1,0,1,0,38,7.2,F,7.0,6,12.9,93,1,2024-10-01,99000
PROP_000026,University Area,Single Family,2040.0,5,4.5,2018,6,0.5,0,0,0,0,6,10.0,A,5.0,15,6.4,0,50,2024-07-17,553000
PROP_000027,Midtown,Ranch,1333.0,2,2.5,1991,33,0.06,0,0,1,0,33,7.5,F,7.0,13,2.8,0,189,2024-04-06,310000
PROP_000028,Waterfront,Condo,1116.0,2,2.0,1997,27,0.0,2,0,0,0,27,7.5,D,8.0,9,4.0,284,22,2024-08-30,479000
PROP_000029,Historic District,Townhouse,755.0,2,2.0,1991,33,0.06,2,0,1,2007,17,10.0,D,7.0,16,1.6,145,29,2024-08-04,278000
PROP_000030,Downtown,Condo,1100.0,3,2.5,2008,16,0.0,1,0,1,2004,20,10.0,D,5.0,22,1.9,400,44,2024-08-15,501000
PROP_000031,Historic District,Single Family,1735.0,3,3.5,1997,27,0.35,2,0,1,0,27,7.7,D,7.0,16,2.6,0,15,2024-10-16,478000
PROP_000032,Midtown,Condo,1015.0,2,1.5,1972,52,0.0,0,0,0,0,52,6.8,F,8.0,17,3.1,513,57,2024-08-04,243000
PROP_000033,Downtown,Townhouse,851.0,2,1.5,1955,69,0.16,2,0,1,2011,13,8.3,E,7.0,29,0.1,274,10,2024-09-12,278000
PROP_000034,Residential Park,Single Family,1524.0,3,3.0,1999,25,0.05,2,0,0,0,25,8.6,F,10.0,11,10.4,0,3,2024-09-28,977500
