transaction_id,transaction_date,customer_id,product_id,quantity,unit_price,payment_method,order_status,shipping_cost,discount_code,discount_amount,sales_channel,subtotal,total,transaction_month,product_name,category,subcategory,base_price,cost_price,brand,segment,region,city,profit,profit_margin
TXN-0000001,2024-09-29,CUST-00200,PROD-0095,5,77.97,Google Pay,Shipped,0.0,,0.0,Mobile App,389.85,389.85,2024-09,Bedding Item 95,Home & Garden,Bedding,35.16,20.72,BrandA,Silver,West,Philadelphia,286.25,73.43
TXN-0000002,2024-04-30,CUST-00838,PROD-0111,3,103.74,Credit Card,Refunded,0.0,,0.0,Website,311.21999999999997,311.21999999999997,2024-04,Bedding Item 111,Home & Garden,Bedding,323.42,195.29,BrandB,Bronze,East,Austin,-274.65000000000003,-88.25
TXN-0000003,2024-08-09,CUST-00151,PROD-0097,2,86.19,Apple Pay,Refunded,0.0,,0.0,Website,172.38,172.38,2024-08,Cycling Item 97,Sports,Cycling,154.3,78.51,BrandB,Silver,Central,Chicago,15.359999999999985,8.91
TXN-0000004,2024-09-03,CUST-00559,PROD-0119,2,298.63,PayPal,Completed,0.0,,0.0,Marketplace,597.26,597.26,2024-09,Footwear Item 119,Clothing,Footwear,377.52,168.47,Generic,Bronze,West,New York,260.32,43.59
TXN-0000005,2024-10-17,CUST-00308,PROD-0069,1,76.29,Debit Card,Processing,9.99,,0.0,Website,76.29,86.28,2024-10,Bedding Item 69,Home & Garden,Bedding,208.19,100.3,BrandC,Bronze,North,Austin,-14.019999999999996,-16.25
TXN-0000006,2024-10-17,CUST-00888,PROD-0133,1,331.43,Debit Card,Shipped,0.0,,0.0,Website,331.43,331.43,2024-10,Tablets Item 133,Electronics,Tablets,370.74,221.26,BrandB,Silver,Central,Austin,110.17000000000002,33.24
TXN-0000007,2024-10-24,CUST-00327,PROD-0145,3,403.84,Apple Pay,Processing,0.0,,0.0,Website,1211.52,1211.52,2024-10,Fitness Item 145,Sports,Fitness,125.53,56.99,Generic,Silver,South,Houston,1040.55,85.89
TXN-0000008,2024-06-29,CUST-01037,PROD-0052,4,222.06,Google Pay,Completed,0.0,,0.0,Website,888.24,888.24,2024-06,Bedding Item 52,Home & Garden,Bedding,269.56,183.32,BrandA,Bronze,South,Philadelphia,154.96000000000004,17.45
TXN-0000009,2024-09-02,CUST-01065,PROD-0142,2,284.73,Debit Card,Cancelled,0.0,,0.0,Mobile App,569.46,569.46,2024-09,Audio Item 142,Electronics,Audio,187.0,114.28,BrandE,Silver,North,New York,340.90000000000003,59.86
TXN-0000010,2024-08-15,CUST-00249,PROD-0122,1,457.22,Credit Card,Completed,0.0,,0.0,Mobile App,457.22,457.22,2024-08,Tablets Item 122,Electronics,Tablets,188.09,83.19,BrandC,Silver,East,Phoenix,374.03000000000003,81.81
TXN-0000011,2024-10-26,CUST-00765,PROD-0029,4,289.08,Debit Card,Completed,0.0,SUMMER20,231.26,Website,1156.32,925.06,2024-10,Water Sports Item 29,Sports,Water Sports,275.77,185.0,BrandE,Bronze,East,Philadelphia,185.05999999999995,20.01
TXN-0000012,2024-03-31,CUST-00106,PROD-0136,1,112.21,Credit Card,Completed,0.0,,0.0,Mobile App,112.21,112.21,2024-03,Laptops Item 136,Electronics,Laptops,175.89,114.55,BrandD,Gold,North,New York,-2.3400000000000034,-2.09
TXN-0000013,2024-07-12,CUST-00501,PROD-0104,2,178.15,Debit Card,Processing,0.0,SAVE10,35.63,Website,356.3,320.67,2024-07,Accessories Item 104,Clothing,Accessories,261.0,153.16,BrandA,Gold,East,Austin,14.350000000000023,4.48
TXN-0000014,2024-10-13,CUST-00858,PROD-0001,4,269.61,Apple Pay,Cancelled,0.0,FLASH30,323.53,Mobile App,1078.44,754.9100000000001,2024-10,Smartphones Item 1,Electronics,Smartphones,300.5,142.28,Generic,Platinum,Central,Dallas,185.79000000000008,24.61
TXN-0000015,2024-10-15,CUST-00807,PROD-0029,1,85.89,Credit Card,Refunded,7.99,VIP25,21.47,Mobile App,85.89,72.41,2024-10,Water Sports Item 29,Sports,Water Sports,275.77,185.0,BrandE,Platinum,North,Chicago,-112.59,-155.49
TXN-0000016,2024-10-15,CUST-00777,PROD-0069,1,310.12,Credit Card,Shipped,0.0,,0.0,Website,310.12,310.12,2024-10,Bedding Item 69,Home & Garden,Bedding,208.19,100.3,BrandC,Platinum,East,Chicago,209.82,67.66
TXN-0000017,2024-10-06,CUST-00352,PROD-0053,2,499.62,PayPal,Shipped,0.0,,0.0,Website,999.24,999.24,2024-10,Garden Item 53,Home & Garden,Garden,62.88,38.14,BrandC,Silver,East,Dallas,922.96,92.37
TXN-0000018,2024-09-13,CUST-00468,PROD-0124,1,329.73,Credit Card,Completed,0.0,,0.0,Marketplace,329.73,329.73,2024-09,Team Sports Item 124,Sports,Team Sports,221.63,144.98,BrandB,Bronze,East,Philadelphia,184.75000000000003,56.03
TXN-0000019,2024-09-24,CUST-00128,PROD-0088,4,192.47,Credit Card,Processing,0.0,,0.0,Mobile App,769.88,769.88,2024-09,Cycling Item 88,Sports,Cycling,170.7,101.06,BrandA,Platinum,East,San Diego,365.64,47.49
TXN-0000020,2024-10-07,CUST-00871,PROD-0083,2,172.55,PayPal,Completed,0.0,WELCOME15,51.76,Marketplace,345.1,293.34000000000003,2024-10,Furniture Item 83,Home & Garden,Furniture,84.46,51.59,BrandC,Silver,South,New York,190.16000000000003,64.83
TXN-0000021,2024-09-01,CUST-00639,PROD-0012,1,466.48,Google Pay,Cancelled,0.0,,0.0,Website,466.48,466.48,2024-09,Garden Item 12,Home & Garden,Garden,361.35,193.48,BrandB,Gold,West,Houston,273.0,58.52
TXN-0000022,2024-10-18,CUST-00854,PROD-0052,2,437.03,PayPal,Refunded,0.0,,0.0,Mobile App,874.06,874.06,2024-10,Bedding Item 52,Home & Garden,Bedding,269.56,183.32,BrandA,Bronze,Central,Dallas,507.41999999999996,58.05
TXN-0000023,2024-10-07,CUST-00312,PROD-0129,5,241.45,Debit Card,Processing,0.0,WELCOME15,181.09,Website,1207.25,1026.16,2024-10,Footwear Item 129,Clothing,Footwear,257.17,150.68,BrandB,Silver,North,Austin,272.76,26.58
TXN-0000024,2024-09-30,CUST-00397,PROD-0135,2,183.16,Debit Card,Cancelled,0.0,,0.0,Mobile App,366.32,366.32,2024-09,Accessories Item 135,Clothing,Accessories,266.36,176.92,BrandD,Silver,West,Chicago,12.480000000000018,3.41
TXN-0000025,2024-09-21,CUST-00410,PROD-0145,5,358.12,Credit Card,Refunded,0.0,,0.0,Mobile App,1790.6,1790.6,2024-09,Fitness Item 145,Sports,Fitness,125.53,56.99,Generic,Gold,Central,New York,1505.6499999999999,84.09
TXN-0000026,2024-07-27,CUST-00030,PROD-0127,5,164.1,Apple Pay,Completed,0.0,,0.0,Marketplace,820.5,820.5,2024-07,Bedding Item 127,Home & Garden,Bedding,137.63,71.28,Generic,Bronze,North,Austin,464.1,56.56
TXN-0000027,2024-10-14,CUST-00424,PROD-0071,1,68.5,Debit Card,Processing,9.99,,0.0,Website,68.5,78.49,2024-10,Audio Item 71,Electronics,Audio,355.43,202.03,BrandB,Silver,South,Dallas,-123.54,-157.4
TXN-0000028,2024-09-14,CUST-00948,PROD-0017,4,161.96,Google Pay,Processing,0.0,,0.0,Website,647.84,647.84,2024-09,Men Item 17,Clothing,Men,237.98,133.9,BrandA,,,,112.24000000000001,17.33
TXN-0000029,2024-09-04,CUST-01070,PROD-0003,5,222.8,Bank Transfer,Completed,0.0,SUMMER20,222.8,Mobile App,1114.0,891.2,2024-09,Furniture Item 3,Home & Garden,Furniture,50.71,21.75,BrandE,Gold,North,Dallas,782.45,87.8
TXN-0000030,2024-10-25,CUST-00654,PROD-0029,2,135.14,Credit Card,Completed,0.0,,0.0,Mobile App,270.28,270.28,2024-10,Water Sports Item 29,Sports,Water Sports,275.77,185.0,BrandE,Bronze,West,Chicago,-99.72000000000003,-36.9
