transaction_id,transaction_date,customer_id,product_id,quantity,unit_price,payment_method,order_status,shipping_cost,discount_code,discount_amount,sales_channel
TXN-0000001,2024-09-29,CUST-00200,PROD-0095,5,77.97,Google Pay,Shipped,0.0,,0.0,Mobile App
TXN-0000002,2024-04-30,CUST-00838,PROD-0111,3,103.74,Credit Card,Refunded,0.0,,0.0,Website
TXN-0000003,2024-08-09,CUST-00151,PROD-0097,2,86.19,Apple Pay,Refunded,0.0,,0.0,Website
TXN-0000004,2024-09-03,CUST-00559,PROD-0119,2,298.63,PayPal,Completed,0.0,,0.0,Marketplace
TXN-0000005,2024-10-17,CUST-00308,PROD-0069,1,76.29,Debit Card,Processing,9.99,,0.0,Website
TXN-0000006,2024-10-17,CUST-00888,PROD-0133,1,331.43,Debit Card,Shipped,0.0,,0.0,Website
TXN-0000007,2024-10-24,CUST-00327,PROD-0145,3,403.84,Apple Pay,Processing,0.0,,0.0,Website
TXN-0000008,2024-06-29,CUST-01037,PROD-0052,4,222.06,Google Pay,Completed,0.0,,0.0,Website
TXN-0000009,2024-09-02,CUST-01065,PROD-0142,2,284.73,Debit Card,Cancelled,0.0,,0.0,Mobile App
TXN-0000010,2024-08-15,CUST-00249,PROD-0122,1,457.22,Credit Card,Completed,0.0,,0.0,Mobile App
TXN-0000011,2024-10-26,CUST-00765,PROD-0029,4,289.08,Debit Card,Completed,0.0,SUMMER20,231.26,Website
TXN-0000012,2024-03-31,CUST-00106,PROD-0136,1,112.21,Credit Card,Completed,0.0,,0.0,Mobile App
TXN-0000013,2024-07-12,CUST-00501,PROD-0104,2,178.15,Debit Card,Processing,0.0,SAVE10,35.63,Website
TXN-0000014,2024-10-13,CUST-00858,PROD-0001,4,269.61,Apple Pay,Cancelled,0.0,FLASH30,323.53,Mobile App
TXN-0000015,2024-10-15,CUST-00807,PROD-0029,1,85.89,Credit Card,Refunded,7.99,VIP25,21.47,Mobile App
TXN-0000016,2024-10-15,CUST-00777,PROD-0069,1,310.12,Credit Card,Shipped,0.0,,0.0,Website
TXN-0000017,2024-10-06,CUST-00352,PROD-0053,2,499.62,PayPal,Shipped,0.0,,0.0,Website
TXN-0000018,2024-09-13,CUST-00468,PROD-0124,1,329.73,Credit Card,Completed,0.0,,0.0,Marketplace
TXN-0000019,2024-09-24,CUST-00128,PROD-0088,4,192.47,Credit Card,Processing,0.0,,0.0,Mobile App
TXN-0000020,2024-10-07,CUST-00871,PROD-0083,2,172.55,PayPal,Completed,0.0,WELCOME15,51.76,Marketplace
TXN-0000021,2024-09-01,CUST-00639,PROD-0012,1,466.48,Google Pay,Cancelled,0.0,,0.0,Website
TXN-0000022,2024-10-18,CUST-00854,PROD-0052,2,437.03,PayPal,Refunded,0.0,,0.0,Mobile App
TXN-0000023,2024-10-07,CUST-00312,PROD-0129,5,241.45,Debit Card,Processing,0.0,WELCOME15,181.09,Website
TXN-0000024,2024-09-30,CUST-00397,PROD-0135,2,183.16,Debit Card,Cancelled,0.0,,0.0,Mobile App
TXN-0000025,2024-09-21,CUST-00410,PROD-0145,5,358.12,Credit Card,Refunded,0.0,,0.0,Mobile App
TXN-0000026,2024-07-27,CUST-00030,PROD-0127,5,164.1,Apple Pay,Completed,0.0,,0.0,Marketplace
TXN-0000027,2024-10-14,CUST-00424,PROD-0071,1,68.5,Debit Card,Processing,9.99,,0.0,Website
TXN-0000028,2024-09-14,CUST-00948,PROD-0017,4,161.96,Google Pay,Processing,0.0,,0.0,Website
TXN-0000029,2024-09-04,CUST-01070,PROD-0003,5,222.8,Bank Transfer,Completed,0.0,SUMMER20,222.8,Mobile App
